title	category
မနှစ်က တက္ကသိုလ်ဝင်ခွင့်ကို တိုက်ရိုက်ခေါ်ယူခဲ့တဲ့တက္ကသိုလ် ၁၁ ခုနဲ့ အခုနှစ်မှာ ထပ်တိုးလိုက်တဲ့ တက္ကသိုလ် ၃ ခု	3
ကျန်းမာရေး ဘားအံတက္ကသိုလ်ကို ဆေးလိပ်ငွေ့ ကင်းစင်နယ်မြေအဖြစ်သတ်မှတ် ကြေညာ	3
ကရင်ပြည်နယ်မြို့တော်ရှိ ဘားအံတက္ကသိုလ်ကို ဆေးလိပ်ငွေ့ကင်းစင်နယ်မြေအဖြစ် သတ်မှတ် ကြေညာလိုက်ပါတယ်။ ဘားအံတက္ကသိုလ်၊ ဘွဲ့နှင်းသဘင်ခန်းမမှာ ဇွန် ၁၈ ရက်	3
စစ်ကိုင်းတိုင်း၌ တက္ကသိုလ်ဝင်စာမေးပွဲ အောင်ချက် သုညရသည့် ကျောင်း ၂၀ အထိရှိလာ	3
၂၀၁၈-၂၀၁၉ ပညာသင်နှစ် တက္ကသိုလ်ဝင်စာမေးပွဲမှာ စစ်ကိုင်းတိုင်းဒေသကြီးအတွင်း အောင်ချက် ရာခိုင်နှုန်း သုညသာရှိခဲ့တဲ့ စာသင်ကျောင်းပေါင်း  ၂၀ အထိရှိပြီး	3
၂၀၁၉-၂၀၂၀ ပညာသင်နှစ်အတွက် မြန်မာတနိုင်ငံလုံးက အခြေခံပညာ စာသင်ကျောင်းတွေကို ဒီကနေ့ ဇွန်လ ၃ ရက်မနက်မှာ စတင်ဖွင့်လှစ်လိုက်ပါတယ်။	3
ကယားပြည်နယ်တွင် မူလတန်းပြ ဆရာ၊ ဆရာမ ၃၄၇ ဦးကို အသစ်ခန့်အပ်	3
ကယားပြည်နယ်မှာ အခု ၂၀၁၉-၂၀ အခြေခံပညာသင်နှစ်အတွက် မူလတန်းပြဆရာဆရာမအသစ် ၃၄၇ ဦးကို လွန်ခဲ့တဲ့ ရက်ပိုင်းက ခန့်အပ်လိုက်တယ်လို့	3
ကျန်းမာရေး မြန်မာကလေးသူငယ်များ၏ အခြေအနေ ကဏ္ဍတော်တော်များများတွင် တိုးတက်လာ	3
မြန်မာနိုင်ငံက ကလေးသူငယ်တွေရဲ့ အခြေအနေဟာ  ကဏ္ဍတော်တော်များများမှာ တိုးတက်လာခဲ့ပေမယ့် အရွယ်မတိုင်ခင်အိမ်ထောင်ကျတာ၊ ကလေးလုပ်သားနဲ့ ကျောင်းထွက်နှုန်း စတာတွေ မြင့်တက်နေတုန်းပဲလို့	3
နယ်တက္ကသိုလ်များတွင် နိုင်ငံရေးသိပ္ပံဘာသာရပ် သင်ကြားမပေးနိုင်သေး	3
ကျွမ်းကျင်ပညာရှင် မလုံလောက်လို့ နိုင်ငံရေးသိပ္ပံဘာသာရပ်ကို ရန်ကုန်တက္ကသိုလ်နဲ့ မန္တလေးတက္ကသိုလ်ကလွဲပြီး  တခြားတက္ကသိုလ်တွေမှာ သင်ကြား မပေးနိုင်သေးဘူးလို့ ပညာရေးဝန်ကြီးဌာန ဒုဝန်ကြီး	3
ကျောင်းအပ်လက်ခံရာတွင် မသမာမှု၊ လာဘ်ပေးလာဘ်ယူမှု ကျူးလွန်သူကို အရေးယူမည်	3
ရန်ကုန်တိုင်းအတွင်း အခြေခံပညာစာသင်ကျောင်းတွေမှာ တာဝန်ထမ်းဆောင်နေတဲ့ ပညာရေးဝန်ထမ်းတွေအနေနဲ့ ကျောင်းအပ်လက်ခံရာမှာ မသမာမှုတွေ လုပ်ဆောင်ပြီး လာဘ်ပေး၊ လာဘ်ယူ တာတွေကို	3
အခြေခံပညာကျောင်းများတွင် ကျောင်းနေအရွယ် ကလေးငယ်တိုင်းကို ကျောင်းအပ်လက်ခံ	3
မြန်မာတနိုင်ငံလုံးက အခြေခံပညာစာသင်ကျောင်းတွေမှာ မေ ၂၅ ကနေစပြီး ၃၁ ရက်နေ့အထိ ကျောင်းနေအရွယ် ကလေးငယ်တိုင်းကို ကျောင်းအပ်လက်ခံပေးနေပြီဖြစ်ပါတယ်။	3
ပညာရေးစနစ် မှန်ကန်ပါက အခြားနိုင်ငံများကို ရင်ပေါင်တန်းနိုင်မည်ဟု အတိုင်ပင်ခံပုဂ္ဂိုလ်ပြော	3
ပညာရေးစနစ် ကောင်းမွန်မှန်ကန်ရင် တခြားနိုင်ငံတွေကို ရင်ပေါင်တန်းပြီး အချိန်တိုအတွင်း အမီလိုက်နိုင်မယ်လို့ နိုင်ငံတော်၏ အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်က ပြောပါတယ်။	3
ပညာရေး လူမှုရေး သတင်း	3
သမိုင်းဝင် ဒိုင်အိုသံတဲ ကျောင်းတော်ကြီး နှစ် ၁၅၀ ပြည့် စာအုပ်မိတ်ဆက်ပွဲ ကျင်းပ	3
မန္တလေး (ရတနာပုံ) ခေတ်က မင်းညီမင်းသားတွေ ပညာသင်ကြားခဲ့တဲ့ ဒိုင်အိုသံတဲ ကျောင်းတော်ကြီး နှစ် ၁၅၀ ပြည့်	3
ကျောင်းသုံးပစ္စည်းများ ပြန်လည်လှူဒါန်းရန်  ပိုဝယ်ခဲ့ပါ လှုပ်ရှားမှု ပြုလုပ်	3
ကျောင်းဖွင့်ချိန်အမီ မတတ်နိုင်တဲ့ ကလေးသူငယ်တွေ၊ ဘကကျောင်းတွေကို ကျောင်းသုံးပစ္စည်းတွေ ပြန်လည်လှူဒါန်းဖို့အတွက် ပိုဝယ်ခဲ့ပါ ဆိုတဲ့ လှုပ်ရှားမှုတခုကို ပရဟိတလူငယ်တွေက	3
ရာထူးချခံရသည့် မော်လမြိုင်ကျွန်း ပညာရေးမှူးကို ဆရာ၊ ဆရာမ ထောင်ချီ နှုတ်ဆက်ကန်တော့	3
ပညာရေးဌာနက ရာထူးချပြောင်းရွှေ့လိုက်တဲ့ ဧရာဝတီတိုင်း  မော်လမြိုင်ကျွန်းမြို့နယ် ပညာရေးမှူးကို မြိုခံ ဆရာ၊ ဆရာမတွေ ထောင်ချီပြီ  နှုတ်ဆက်ကန်တော့ခဲ့ကြပါတယ်။	3
အိပ်ပျော်နေ၍ စာဖြေချိန်နောက်ကျသည့် ကျောင်းသားကို ယာဉ်ထိန်းရဲ အချိန်မီပို့ဆောင်	3
ဒေါပုံမြို့နယ်၊ ဒေါပုံ အ.ထ.က (၁) ကျောင်းမှ ကျောင်းသားတဦး အိပ်ပျော်နေလို့ တက္ကသိုလ်ဝင်စာမေးပွဲဖြေဆိုချိန် နောက်ကျနေတာကို ယာဉ်ထိန်းရဲတပ်ဖွဲ့က	3
တက္ကသိုလ်ဝင်စာမေးပွဲ ဖြေဆိုနေသည့် အကျဉ်းသားများကို အာဟာရကျွေးမွေး	3
တက္ကသိုလ်ဝင်စာမေးပွဲ ဝင်ရောက်ဖြေဆိုနေကြတဲ့ အကျဉ်းသား၊ အချုပ်သားတွေကို အားဖြည့်စားသောက် ဖွယ်ရာတွေ ထောက်ပံ့ကျွေးမွေးခဲ့တယ်လို့ အကျဉ်းဦးစီးဌာနက ထုတ်ပြန်ပါတယ်။ လက်ရှိကျင်းပနေတဲ့	3
တက္ကသိုလ်ဝင်စာမေးပွဲဖြေရန် ကျောင်းသားပေါင်း  ၅၀၀၀၀ ခန့် ပျက်ကွက်	3
ဒီနေ့ စတင်ဖြေဆိုတဲ့ ၂၀၁၉ ခုနှစ် တက္ကသိုလ်ဝင်စာမေးပွဲဖြေဆိုရာမှာ ကျောင်းသားပေါင်း ၅၀၀၀၀ လောက် ပျက်ကွက်ခဲ့တယ်လို့ မြန်မာနိုင်ငံ	3
ပညာရေး သတင်း သတင်းဓာတ်ပုံ	3
ချမ်းအေးသာစံ အ.ထ.က (၅)တွင် ၇၃ နှစ်အရွယ် အဘိုးအို စာမေးပွဲဖြေဆို	3
မန္တလေးတိုင်း၊ ချမ်းအေးသာစံမြို့နယ်ရှိ အခြေခံပညာအထက်တန်းကျောင်း အမှတ် ၅ မှာ အသက် ၇၃ နှစ်အရွယ်ရှိ ဦးစိုင်းအောင်ညွန့်က	3
အကျဉ်းသား ၁၇၀ ကျော် တက္ကသိုလ်ဝင်စာမေးပွဲ ဝင်ရောက်ဖြေဆို	3
ဒီကနေ့စတင်ကျင်းပနေတဲ့ တက္ကသိုလ်ဝင်စာမေးပွဲမှာ နိုင်ငံတဝန်း အကျဉ်းထောင်တွေကနေ အကျဉ်းသားအကျဉ်းသူ ၁၆၄ ယောက်၊ အချုပ်သား ၇ ယောက်	3
ပညာရေး လူမှုရေး သတင်း သတင်းဓာတ်ပုံ	3
စာမေးပွဲဖြေရန် ကျောင်းမှားရောက်လာသည့် ကျောင်းသူကျောင်းသားများကို ယာဉ်ထိန်းရဲလိုက်ပို့	3
တက္ကသိုလ်ဝင်တန်း စာမေးပွဲဖြေဆိုဖို့ ကျောင်းမှားပြီး ရောက်လာတဲ့ ကျောင်းသား ကျောင်းသူတွေကို ယာဉ်ထိန်းရဲတွေက ဆိုင်ကယ်တွေနဲ့ သက်ဆိုင်ရာကျောင်းကို လိုက်ပို့ပေးခဲ့ပါတယ်။	3
ပညာရေး သတင်း သတင်းဓာတ်ပုံ	3
တက္ကသိုလ်ဝင်တန်းစာမေးပွဲများ နိုင်ငံတဝန်း စတင်ကျင်းပ  	3
ဒီပညာသင်နှစ်အတွက် တက္ကသိုလ်ဝင်စာမေးပွဲတွေကို မြန်မာတပြည်လုံး အတိုင်းအတာအနေနဲ့ မတ်လ ၆ ကျင်းပနေရာမှာ  ကျောင်းသား၊ ကျောင်းသူတွေဟာ မြန်မာစာ	3
ပညာရေး သတင်း သတင်းဓာတ်ပုံ	3
တက္ကသိုလ်ဝင်တန်း စာမေးပွဲ ဖြေဆိုမည့် ဒဂုံမြောက်ပိုင်း အ.ထ.က(၄) ကျောင်းသားများ (ဓာတ်ပုံ)	3
နိုင်ငံတဝန်းရှိ အခြေခံပညာ စာသင်ကျောင်းတွေမှာ ၂၀၁၈-၁၉ ပညာသင်နှစ်အတွက် တက္ကသိုလ်ဝင်တန်း စာမေးပွဲတွေကို ဒီကနေ့မနက် စတင်ကျင်းပနေရာမှာ ဒဂုံမြို့သစ်	3
ပြည်မြို့တွင် တက္ကသိုလ်ဝင်စာမေးပွဲကာလ ကေတီဗွီနှင့်အရက်ဆိုင်များ အချိန်ကန့်သတ်	3
ပြည်မြို့မှာ တက္ကသိုလ်ဝင်စာမေးပွဲ မတိုင်ခင်နဲ့ စာမေးပွဲပြီးတဲ့အချိန်အထိ ကေတီဗွီ တွေ၊ အရက်ဆိုင်တွေကို အချိန်ကန့်သတ်ပြီး ဖွင့်ဖို့ ပြည်မြို့နယ်ထွေအုပ်က	3
တက္ကသိုလ်ဝင်စာမေးပွဲနီးလာသဖြင့် နတ်နန်းများတွင် ပွဲပေးသူ ပိုများလာ	3
တက္ကသိုလ်ဝင်စာမေးပွဲ နီးကပ်လာတဲ့အတွက် ဗိုလ်တထောင်ဘုရားမှာရှိတဲ့ နတ်နန်းတွေ မှာ ပွဲပေးသူတွေ အရင်ကထက် ပိုများလာပါတယ်။ တက္ကသိုလ်ဝင်စာမေးပွဲ နီးကပ်လာပြီဖြစ်တဲ့အတွက်	3
တိုင်းအစိုးရက ဆောက်လုပ်ခွင့်မပြုသည့်ကြားမှ ကိုယ်ပိုင်အထက်တန်းကျောင်း ပန္နက်ရိုက်	3
မန္တလေးတိုင်းဒေသကြီး ပုသိမ်ကြီးမြို့နယ် ကျောက်ချောကျေးရွာက မဟော်သဓာ အမျိုးသားရေး ကိုယ်ပိုင်အထက်တန်းကျောင်း (မန္တလေး) တည်ဆောက်မယ့်ကိစ္စကို မန္တလေးတိုင်း ဒေသကြီး	3
ရန်ကုန်မြို့စွန်ရှိ စာသင်ကျောင်းများကို ဒေါ်အောင်ဆန်းစုကြည် ဝင်ရောက်စစ်ဆေး	3
ရန်ကုန်တိုင်းဒေသကြီး၊ လှိုင်သာယာမြို့အတွင်းရှိ အခြေခံပညာစာသင်ကျောင်းတွေကို နိုင်ငံတော်အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်က ဒီကနေ့ ဝင်ရောက်စစ်ဆေးပါတယ်။ လှိုင်သာယာ အ.ထ.က (၁)၊	3
ဖမ်းဆီးခံ ရတနာပုံတက္ကသိုလ်ကျောင်းသားများ လွတ်မြောက်ရေး တရားရုံးတွင် ဆန္ဒပြ	3
ရတနာပုံတက္ကသိုလ်မှာလုံခြုံရေးနဲ့ သန့်ရှင်းရေးဝန်ထမ်းတိုးမြှင့်ချထားပေးဖို့ တောင်းဆိုခဲ့လို့ ဖမ်းဆီးခံထားရတဲ့ ကျောင်းသားတွေကို အမရပူရမြို့နယ် တရားရုံးမှာ မနေ့က ဒုတိယအကြိမ် ရုံးထုတ်ရာမှာ	3
အဝေးသင် အနီးကပ်သင်တန်း ၅ရက် နှစ်ကြိမ်ခွဲသင်မည့်ကိစ္စ  ပြန်စဉ်းစားဆောင်ရွက်ပေးမည်	3
အဝေးသင်ဝိဇ္ဇာဘာသာရပ်တွေ အနီးကပ်သင်ကြားရက် ၅ ရက် နှစ်ကြိမ်ခွဲတာနဲ့ ပတ်သက်လို့ ကျောင်းသား ကျောင်းသူတွေအနေနဲ့ အဆင်မပြေတာတွေရှိတယ်ဆိုတဲ့ အသံတွေ	3
ဆရာဆရာမ လုပ်ချင်သူ များလာရေး ကြိုးစားနေဟု အတိုင်ပင်ခံပုဂ္ဂိုလ်ပြော	3
နောင်မျိုးဆက်တွေအတွက် ပြည်သူတွေ ကျောင်းဆရာဆရာမ အလုပ်ကို လုပ်ချင်လာအောင် ကြိုးစားဆောင်ရွက်နေတယ်လို့ အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်က ပြောကြားလိုက်ပါတယ်။ ချင်းပြည်နယ်	3
ရှမ်းအရှေ့တက္ကသိုလ်ဝင်တန်းအောင်ချက်မြင့်မားရေး စာဖြေစနစ်ပုံစံသစ် ဟောပြောဆွေးနွေး	3
ရှမ်းပြည်နယ်အရှေ့ပိုင်း မိုင်းဆတ်ခရိုင် မိုင်းတုံမြို့နယ်ရှိ တက္ကသိုလ်ဝင်တန်း ဝင်ရောက်ဖြေဆိုမယ့် ကျောင်းသားကျောင်းသူတွေကို တက္ကသိုလ်ဝင်တန်းအောင်ချက်မြင့်မားရေး စာဖြေစနစ်ပုံစံသစ်ကို တက္ကသိုလ်ဆရာဆရာမတွေက ဟောပြောဆွေးနွေးခဲ့ကြပါတယ်။	3
ရခိုင်စစ်ဘေးရှောင် ကျောင်းသားများ စာမေးပွဲဖြေဆိုနိုင်အောင် စီစဉ်ပေးမည်	3
ရခိုင်ပြည်နယ်ထဲက စစ်ဘေးရှောင် ကျောင်းသားတွေအနေနဲ့ ရောက်နေတဲ့နေရာမှာ စာမေးပွဲဖြေလို့ ရအောင် စီစဉ်ပေးမယ်လို့ ရခိုင်ပြည်နယ် ပညာရေးမှူးက ဒီဗွီဘီကို	3
အဝေးသင် ဝိဇ္ဇာဘာသာစာမေးပွဲဖြေဆိုရန် အနီးကပ်သင်တန်းပုံစံပြောင်းလဲ	3
အခုပညာသင်နှစ်မှာ ဖြေဆိုကြရမယ့် အဝေးသင်တက္ကသိုလ် ဝိဇ္ဇာဘာသာ သင်တန်းတွေအတွက် အနီးကပ်သင်ကြားပေးမယ့်ပုံစံကို ပြောင်းလဲလိုက်တယ်လို့ အဆင့်မြင့်ပညာ ဦးစီးဌာနက စုံစမ်းသိရပါတယ်။	3
ပညာရေး သတင်း သတင်းမီဒီယာ	3
ရတနာပုံတက္ကသိုလ်ဘက်က ပူးပေါင်းဆောင်ရွက်မှုမရှိဟု မီဒီယာကောင်စီပြော	3
မန္တလေးသတင်းထောက်တွေနဲ့ ရတနာပုံတက္ကသိုလ်ပါမောက္ခတို့အကြား ပြဿနာကို ကူညီဖြေရှင်းပေးဖို့ ကြိုးစားနေရာမှာ ရတနာပုံတက္ကသိုလ်ဘက်က ပူးပေါင်းဆောင်ရွက်မှုမရှိဘူးလို့ မြန်မာနိုင်ငံသတင်းမီဒီယာကောင်စီ တွဲဘက်အတွင်းရေးမှူး (၂)	3
ပညာရေး လူမှုရေး သတင်း	3
သီပေါမြို့နယ်တွင် တိုက်ပွဲများကြောင့် စာသင်ကျောင်း ၇ ကျောင်း ယာယီပိတ်ထားရ	3
ရှမ်းပြည်မြောက်ပိုင်း၊ ကျောက်မဲခရိုင်၊ သီပေါမြို့နယ်ထဲမှာ ကျေးရွာအုပ်စုပေါင်း ၄ စုက ရွာသားတွေ တိုက်ပွဲရှောင်နေရသလို စာသင်ကျောင်းပေါင်း ၇	3
၂၀၁၉ တက္ကသိုလ်ဝင်စာမေးပွဲတွင် စိတ်ကြိုက်မြန်မာစာဖြေဆိုမည့်သူ ၃ ဦးသာရှိ	3
၂၀၁၉ ခုနှစ် တက္ကသိုလ်ဝင်စာမေးပွဲကို ဝင်ရောက်ဖြေဆိုကြမယ့် ကျောင်းသား ကျောင်းသူ ၉ သိန်း လောက်မှာ စိတ်ကြိုက်မြန်မာစာ	3
တက္ကသိုလ်ဝင်စာမေးပွဲကို ဝင်ရောက်ဖြေဆိုမည့် မသန်စွမ်းကျောင်းသားများကို ဖိတ်ခေါ်	3
အခုနှစ် တက္ကသိုလ်ဝင်တန်းစာမေးပွဲကို ဝင်ရောက်ဖြေဆိုမယ့် မသန်စွမ်းကျောင်းသားတွေ အနေနဲ့ မိမိတို့ အခွင့်အရေးတွေ အပြည့်အဝရရှိဖို့အတွက် မသန်စွမ်းသူဖြစ်ကြောင်းကို တင်ပြကြဖို့	3
တက္ကသိုလ်ဝင်စာမေးပွဲဖြေဆိုမည်သူ ၂ သိန်းခွဲကျော် ပိုများလာ	3
တက္ကသိုလ်ဝင်စာမေးပွဲဖြေဆိုမယ့်သူ အရေအတွက်ဟာ ၄ နှစ်အတွင်း ၂ သိန်းခွဲကျော် ပိုများလာတယ်လို့ ပညာရေးပြည်ထောင်စုဝန်ကြီး ဒေါက်တာမျိုးသိမ်းကြီးက ပြောပါတယ်။	3
ကျောင်းပြင်ပ မူလတန်းပညာသင်ယူသူများ ကျောင်းနေမြဲရေး ဆွေးနွေးပွဲ ပြုလုပ်	3
ကျောင်းပြင်ပ မူလတန်းပညာရေးမှာ တက်ရောက်သင်ယူနေကြတဲ့ ကျောင်းသားကျောင်းသူတွေ ကျောင်းနေမြဲဖို့နဲ့ ပညာရည်မြင့်မားလာစေဖို့အတွက် ဆွေးနွေးပွဲ ကို နိုဝင်ဘာ ၂၄	3
ကျောင်းသား ၂ သိန်းအတွက် ကျန်းမာရေးစစ်တမ်း စတင်ထုတ်ပေးမည်	3
ကျောင်းသား ၂ သိန်းအတွက် ကျောင်းကျန်းမာရေးစစ်တမ်းတွေ ထားရှိနိုင်ရေး စီစဉ်နေပြီး ၂၀၁၉-၂၀၂၀ မှာ စတင်လုပ်ဆောင်မယ်လို့ ကျန်းမာရေးဝန်ကြီးဌာန	3
ကျောင်းပတ်ဝန်းကျင် ဘေးကင်းလုံခြုံရေး အခြေခံပညာ ၂၆ ကျောင်း၌ ဆောင်ရွက်မည်	3
အခြေခံပညာ စာသင်ကျောင်းတွေမှာ ကျောင်းနဲ့ ကျောင်းပတ်ဝန်းကျင် ဘေးကင်းလုံခြုံမှုရှိရေး အစီအစဉ်တွေကို မြန်မာ့ရပ်ရွာလူထု ဘေးဒဏ်ခံနိုင်စွမ်း တိုးမြှင့်ရေးစီမံချက်အနေနဲ့ အစိုးရက	3
နည်းပညာတက္ကသိုလ်ကျောင်းသားသမဂ္ဂနှင့် ပညာရေးဝန်ကြီးဌာန တွေ့ဆုံဆွေးနွေး	3
နည်းပညာတက္ကသိုလ်တွေက ကျောင်းသားသမဂ္ဂတာဝန်ရှိသူတွေနဲ့ ပညာရေးဝန်ကြီးဌာန တာဝန်ရှိသူတွေ ဒီနေ့ နေပြည်တော်မှာ တွေ့ဆုံဆွေးနွေးရာမှာ စာမေးပွဲပြန်စစ်တဲ့ကိစ္စကလွဲပြီး  ကျောင်းသားတွေရဲ့ တောင်းဆိုချက်	3
အင်္ဂလိပ်စာအညံ့ဆုံး ၁၀ နိုင်ငံတွင် မြန်မာပါဝင်	3
ကမ္ဘာ့နိုင်ငံတွေရဲ့ အင်္ဂလိပ်စာ ကျွမ်းကျင်တတ်မြောက်မှုအညွန်းကိန်းအရ မြန်မာနိုင်ငံဟာ နိုင်ငံပေါင်း ၈၈ နိုင်ငံအနက် အောက်ဆုံး ၁၀ နိုင်ငံ	3
ပုသိမ်မြို့တွင် ကလေးစာပေပွဲတော်ကို ကျပ်သိန်း ၁၀၀၀ ကျော်အကုန်ကျခံ ကျင်းပ	3
ဧရာဝတီတိုင်းဒေသကြီး၊ ပုသိမ်မြို့ ပုသိမ်တက္ကသိုလ်မှာ ကလေးစာပေပွဲတော်ကို ပထမဆုံးအကြိမ်အဖြစ် နိုဝင်ဘာ ၃ ရက်ကနေ  ၅ ရက်အထိ	3
ယခုနှစ်အတွက် ဆေးကျောင်းသား ကျောင်းသူ ၁၄၀၀ ကျော် ဝင်ခွင့်ပြု	3
ဆေးတက္ကသိုလ်နဲ့ သွားဘက်ဆိုင်ရာ ဆေးတက္ကသိုလ်တွေမှာ အခုနှစ်အတွက် ကျောင်းသူ ကျောင်းသား ၁၄၀၀ ကျော် ဝင်ခွင့်ပြုလိုက်တယ်လို့ ကျန်းမာရေးနဲ့	3
မောင်တောတွင် အသုံးလုံးသင်ကြားရေးနှင့် အဝေးသင်တက္ကသိုလ်ဌာနခွဲများ ဖွင့်လှစ်မည်	3
ရခိုင်ပြည်နယ် မောင်တောမြို့နယ်နဲ့ ဘူးသီးတောင်မြို့နယ်တွေမှာ အသုံးလုံး သင်ကြားဖို့နဲ့ အဝေးသင်တက္ကသိုလ်ဌာနခွဲတွေ ဖွင့်လှစ်နိုင်ဖို့ အစိုးရ တာဝန်ရှိသူတွေ တွေ့ဆုံ	3
ကျန်းမာရေး ရခိုင်ပြည်နယ် ကျန်းမာရေးနှင့်ပညာရေးအတွက် ဒေါ်လာသန်း ၅၀ ဗြိတိန်ကူညီ	3
၂၀၁၈-၂၀၁၉ ဘဏ္ဍာရေးနှစ်မှာ ရခိုင်ပြည်နယ်ရဲ့ ကျန်းမာရေးနဲ့ ပညာရေးအတွက် အသုံးပြုဖို့ အမေရိကန်ဒေါ်လာသန်း ၅၀ ကို ဗြိတိန်အစိုးရက	3
ရှမ်းပြည်နယ်တွင် ထောင်ကျနေသည့် ဆယ်တန်းကျောင်းသား ၃၀ ကျော်အနက် ၁၆ ဦး စာပေးပွဲဖြေမည်	3
ရှမ်းပြည်နယ်ထဲမှာ အပြစ်ဒဏ်တွေကြောင့် ထောင်ကျနေတဲ့ တက္ကသိုလ်ဝင်တန်း အကျဉ်းသား ၃၀ ကျော်ရှိပြီး ၂၀၁၈ ခုနှစ် စာမေးပွဲ	3
တက္ကသိုလ် ၁၁ ခုက ဝင်ခွင့်ရကျောင်းသားကျောင်းသူများ စာရင်းထုတ်ပြန်	3
၂၀၁၇-၁၈ ပညာသင်နှစ်မှာ တက္ကသိုလ်ဝင်ခွင့်ကို တိုက်ရိုက်ခေါ်ယူခွင့်ရရှိထားတဲ့ တက္ကသိုလ် ၁၁ ခုက တက္ကသိုလ်ဝင်ခွင့်ရရှိသူတွေရဲ့ စာရင်းတွေကို စက်တင်ဘာ	3
ရန်ကုန်တွင် ကိုယ်ပိုင်ကျောင်း ၂၀၀ကျော်ဖွင့်လှစ်ထား၊ မှတ်ပုံတင်ကြေး ကျပ်သိန်း ၆၆၀ ကျော် ရရှိ	3
ရန်ကုန်တိုင်းဒေသကြီးထဲမှာ ၂၀၁၈-၁၉ ဘဏ္ဍာနှစ်အတွက် ကိုယ်ပိုင်ကျောင်း ၂၀၈ ကျောင်းဖွင့်လှစ်ခွင့်ပြုထားပြီး မှတ်ပုံတင်ကြေး ကျပ်သိန်း ၆၆၀ ကျော်	3
ကျန်းမာရေး ပုဂ္ဂလိက ဆေးတက္ကသိုလ်နှင့် သူနာပြုတက္ကသိုလ်များဖွင့်ရန် ပြည်ပနိုင်ငံများ ကမ်းလှမ်း	3
မြန်မာနိုင်ငံမှာ ဆေးတက္ကသိုလ်နဲ့ သူနာပြုတက္ကသိုလ်တွေဖွင့်လှစ်ဖို့ ပြည်ပနိုင်ငံတွေက ကမ်းလှမ်းလာတာတွေရှိတယ်လို့ ကျန်းမာရေးနှင့် အားကစားဝန်ကြီးဌာန ပြည်ထောင်စုဝန်ကြီး ဒေါက်တာမြင့်ထွေးက ပြောပါတယ်။	3
အခြေခံပညာ နှစ်ဝက်စာမေးပွဲများ စာသင်ချိန် တချိန်စာသာ စစ်ဆေးရန်ညွန်ကြား	3
